,title,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,poster_path,return,genre_1,genre_2
4339,Queen of the Desert,en,A chronicle of Gertrude Bell's life a traveler writer archaeologist explorer cartographer and political attaché for the British Empire at the dawn of the twentieth century.,22.699,Other,2015-09-03,15000000.0,1592853.0,128.0,5.883,236.0,/9WrxqWttzNiEgKGIm3mDteu6jmq.jpg,0.1061902,Drama,Adventure
4340,Master and Commander: The Far Side of the World,en,After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew including the ship's thoughtful surgeon his best friend.,22.696,Other,2003-11-14,150000000.0,212011111.0,138.0,7.101,2670.0,/s1cVTQEZYn4nSjZLnFbzLP0j8y2.jpg,1.4134074066666666,Adventure,Drama
4342,The Sorcerer's Apprentice,en,Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis Maxim Horvath. Balthazar can't do it alone so he recruits Dave Stutler a seemingly average guy who demonstrates hidden potential as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic and together these unlikely partners work to stop the forces of darkness.,22.692,Other,2010-07-13,150000000.0,215283742.0,109.0,6.1,4454.0,/b5pIUsGll0418NyfNA5eYCI9aoK.jpg,1.4352249466666667,Fantasy,Adventure
4343,Rugrats Go Wild,en,When the Rugrats find themselves stranded on a deserted island they meet the Thornberrys a family who agrees to help them escape.,22.69,Other,2003-06-13,25000000.0,55443032.0,84.0,6.2,254.0,/hpVpXRNY2IsU0xvfXtYOxu0QDwc.jpg,2.21772128,Animation,Family
4346,Man on a Ledge,en,An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However unbeknownst to the police on the scene the suicide attempt is a cover for the biggest diamond heist ever pulled.,22.673,Other,2012-01-13,42000000.0,46221189.0,102.0,6.418,2299.0,/fn75crX6sRcKRc7lhuqKTenppQE.jpg,1.1005045,Action,Thriller
4347,Ace Ventura: When Nature Calls,en,Summoned from an ashram in Tibet Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails the result will be a vicious tribal war.,22.662,Warner Bros. Pictures-Morgan Creek Productions,1995-11-10,30000000.0,212385533.0,90.0,6.309,3601.0,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,7.079517766666667,Crime,Comedy
4348,Carol,en,In 1950s New York a department-store clerk who dreams of a better life falls for an older married woman.,22.661,Other,2015-11-20,11800000.0,40272135.0,118.0,7.485,3293.0,/A8JV3ockAvWOXmcNZyAGqlyTTBw.jpg,3.4128927966101696,Romance,Drama
4352,Yu-Gi-Oh! The Movie,en,After the conclusion of the Battle City Tournament deep below the sands of Egypt an ancient evil has awakened. Anubis who was defeated centuries ago by Yugi’s mysterious alter ego – the ancient Pharaoh – has returned for revenge. Wielding the power of the Eighth Millennium Item Anubis is determined to destroy Yugi and take over the world.,22.651,Other,2004-08-13,20000000.0,29170410.0,90.0,6.1,283.0,/3VD5QDTu0rQgRvERBMXtAvg0oIC.jpg,1.4585205,Animation,Fantasy
4354,The Good Liar,en,Career con man Roy sets his sights on his latest mark: recently widowed Betty worth millions. And he means to take it all. But as the two draw closer what should have been another simple swindle takes on the ultimate stakes.,22.638,Other,2019-11-08,10000000.0,33856058.0,109.0,6.702,927.0,/6kmxXfg3aSWrzUlEPt2L0YD4jz9.jpg,3.3856058,Crime,
4356,The Time Machine,en,Hoping to alter the events of the past a 19th century inventor instead travels 800000 years into the future where he finds mankind divided into two warring races.,22.632,Other,2002-03-04,80000000.0,123729176.0,96.0,6.2,1945.0,/9QB6wIc6XOtoi02uUCLSvY0onSL.jpg,1.5466147,Science Fiction,Adventure
4357,Red Lights,en,Two investigators of paranormal hoaxes the veteran Dr. Margaret Matheson and her young assistant Tom Buckley study the most varied metaphysical phenomena with the aim of proving their fraudulent origins. Simon Silver a legendary blind psychic reappears after an enigmatic absence of 30 years to become the greatest international challenge to both orthodox science and professional sceptics. Tom starts to develop an intense obsession with Silver whose magnetism becomes stronger with each new manifestation of inexplicable events. As Tom gets closer to Silver tension mounts and his worldview is threatened to its core.,22.629,Other,2012-03-02,14000000.0,13551174.0,119.0,6.178,1077.0,/sukxYMaUTNizM7bcEJ4YeH80e8h.jpg,0.967941,Thriller,
4358,Exorcist II: The Heretic,en,Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?,22.627,Warner Bros. Pictures,1977-06-17,14000000.0,30749142.0,118.0,4.5,569.0,/g9i3LTMYLRHvCYSKimZEfd1Vqy7.jpg,2.1963672857142855,Drama,Horror
4359,The Forbidden Kingdom,en,An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior the Monkey King. With the lost relic in hand the teenager unexpectedly finds himself travelling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King.,22.619,Other,2008-04-18,55000000.0,127906624.0,104.0,6.601,1452.0,/mkrwLBAFHwLnQF8qdhCH0VOQqff.jpg,2.325574981818182,Action,Adventure
4362,The Mermaid,zh,A playboy business tycoon Liu Xuan purchases the Green Gulf a wildlife reserve for a sea reclamation project and uses sonar technology to get rid of the sea life in the area. Unknown to him the Green Gulf is the home of merpeople and the sonar has caused many of them to succumb to illness or die. Xuan's business ventures in the area are threatened when he crosses paths with the mermaid Shan who is sent to avenge her people.,22.619,Other,2016-02-08,60720000.0,553810228.0,93.0,6.4,285.0,/8YVB8VxQqx3J1FtOVvoHybBKNPS.jpg,9.120721805006587,Comedy,Fantasy
4363,The Illusionist,en,With his eye on a lovely aristocrat a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed a crown prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.,22.611,Other,2006-08-18,16500000.0,87892388.0,110.0,7.289,4321.0,/4I1oOPHNrHLcvz3wTMuETJLws9z.jpg,5.326811393939394,Fantasy,Drama
4365,Shaft,en,JJ aka John Shaft Jr. may be a cyber security expert with a degree from MIT but to uncover the truth behind his best friend’s untimely death he needs an education only his dad can provide. Absent throughout JJ’s youth the legendary locked-and-loaded John Shaft agrees to help his progeny navigate Harlem’s heroin-infested underbelly.,22.605,Other,2019-06-14,30000000.0,21360215.0,111.0,6.5,1478.0,/kfZqwGuvEBAysAbCsa0QLKoSYR.jpg,0.7120071666666666,Action,Crime
4367,War of the Arrows,ko,13 years after the King Injo Revolt the Chosun Dynasty is attacked by the Chung Dynasty of China. A young man named Na-mi leaves his demolished village to find his young sister Ja-in and her finance Su-koon who were to wed on the very day of the attack. While on his mission to rescue her he is being traced by Jushinta a fierce Chung Warrior and his band of malicious men who are out to stop him. Na-mi has but a day to rescue his sister before she is taken away to be a slave. When Na-mi finally finds his sister Jushinta comes between them and a fierce battle between two of the finest warriors unfolds.,22.598,Other,2011-08-10,8000000.0,49000000.0,122.0,7.2,221.0,/iOTRRHt9GNbUfQhV3MhMCznjrPI.jpg,6.125,Drama,Action
4371,Friday the 13th Part VIII: Jason Takes Manhattan,en,"Jason ships out aboard a teen-filled ""love boat"" bound for New York which is soon transformed into the ultimate voyage of the damned.",22.589,Other,1989-07-28,5000000.0,14000000.0,100.0,5.0,841.0,/o8zLlANBDaPiW3SnDdKLIUd4jQQ.jpg,2.8,Horror,Thriller
4374,Transformers: Dark of the Moon,en,The Autobots continue to work for NEST now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.,22.582,Other,2011-06-28,195000000.0,1123794079.0,154.0,6.164,7387.0,/28YlCLrFhONteYSs9hKjD1Km0Cj.jpg,5.763046558974359,Action,Science Fiction
4377,Citizen Kane,en,Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result every well-meaning tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.,22.576,Other,1941-04-17,839727.0,23218000.0,119.0,8.021,4766.0,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,27.649462265712547,Mystery,Drama
4381,Blue Valentine,en,Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.,22.564,Other,2010-12-16,1000000.0,15440333.0,112.0,6.9,2816.0,/vqQPrOc0XCloZhuOeR66wjsnyUo.jpg,15.440333,Drama,Romance
4383,Mary Poppins Returns,en,Mary Poppins returns to the Banks family and helps them evade grave dangers by taking them on magical musical adventures.,22.555,Other,2018-12-13,130000000.0,348807090.0,131.0,6.5,2969.0,/uTVGku4LibMGyKgQvjBtv3OYfAX.jpg,2.6831314615384616,Fantasy,Family
4384,The Blob,en,In Arborville California three high school students discover a strange gelatinous substance that melts the flesh of any living creatures in its path and wreaks havoc across town.,22.554,Other,1988-08-05,19000000.0,8247943.0,95.0,6.705,697.0,/zXXDmz5cPuSo9LveCNjZ1j16szC.jpg,0.43410226315789474,Horror,Science Fiction
4385,Planet 51,en,When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture recover his spaceship and make it home safely all with the help of an empathetic little green being.,22.551,Other,2009-11-19,70000000.0,104945765.0,91.0,5.8,1797.0,/x7Itcg3ZdExKwdKguy73WPEqosW.jpg,1.4992252142857143,Animation,Family
4388,The Name of the Rose,en,14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.,22.543,Other,1986-09-24,18000000.0,77200000.0,130.0,7.5,2591.0,/d6dlbTBb3N7nXDz7tQslDJs2jgv.jpg,4.288888888888889,Drama,Thriller
4389,Johnny English,en,A lowly pencil pusher working for MI7 Johnny English is suddenly promoted to super spy after Agent One is assassinated and every other agent is blown up at his funeral. When a billionaire entrepreneur sponsors the exhibition of the Crown Jewels—and the valuable gems disappear on the opening night and on English's watch—the newly-designated agent must jump into action to find the thief and recover the missing gems.,22.541,Other,2003-03-14,40000000.0,160583018.0,88.0,6.2,2974.0,/lx3Y7teA6DaoQ6cIhwzrlnDZpFW.jpg,4.01457545,Adventure,Action
4390,The Green Inferno,en,A group of student activists travel from New York City to the Amazon to save the rainforest.  However once they arrive in this vast green landscape they soon discover that they are not alone… and that no good deed goes unpunished.,22.539,Other,2013-09-08,5000000.0,12666449.0,100.0,5.7,1200.0,/dTnAYyUwp6lT0cKrt4aNujj5mdF.jpg,2.5332898,Horror,Thriller
4392,Sleepaway Camp,en,Slightly disturbed and painfully shy Angela Baker is sent away to summer camp with her cousin. Not long after Angela's arrival things start to go horribly wrong for anyone with sinister or less than honorable intentions.,22.532,Other,1983-11-18,350000.0,11000000.0,85.0,6.3,532.0,/qCQo7okJCHYMMagt6kC0YfhoVVt.jpg,31.428571428571427,Horror,
4393,So Undercover,en,When the FBI hires her to go undercover at a college sorority Molly Morris (Miley Cyrus) must transform herself from a tough streetwise private investigator to a refined sophisticated university girl to help protect the daughter of a one-time Mobster. With several suspects on her list Molly unexpectedly discovers that not everyone is who they appear to be including herself.,22.527,Other,2012-12-06,15000000.0,2500000.0,94.0,6.2,1045.0,/abR6e0FaWwwcEJEM4PY5VvjwBr1.jpg,0.16666666666666666,Action,Comedy
4398,Justice League: The New Frontier,en,The human race is threatened by a powerful creature and only the combined power of Superman Batman Wonder Woman Green Lantern Martian Manhunter and The Flash can stop it. But can they overcome their differences to thwart this enemy using the combined strength of their newly formed Justice League?,22.498,Other,2008-02-26,3500000.0,5231128.0,75.0,6.8,435.0,/bj25ueeYNkz4e5t8oMMaAOWmwOc.jpg,1.494608,Action,Adventure
4401,The Empty Man,en,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further James begins to see and hear strange things and is forced to come to terms with his past and what it means for his future.",22.492,Other,2020-10-22,16000000.0,4796993.0,137.0,6.2,560.0,/8apzu9JFTUMtOpYkHk6LNPOs3pY.jpg,0.2998120625,Horror,Mystery
4405,Red Heat,en,A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,22.484,Other,1988-06-17,29000000.0,34994648.0,104.0,6.2,1205.0,/AoJTHXmO01EZgT0p1YTsGBEQxLj.jpg,1.206712,Action,Crime
4407,Fried Green Tomatoes,en,Amidst her own personality crisis southern housewife Evelyn Couch meets Ninny an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison two young women who experienced hardships and love in Whistle Stop Alabama in the 1920s.,22.482,Other,1991-12-27,11000000.0,119418501.0,130.0,7.7,1134.0,/pnn2azXtMvDPqY5EZNGbndAxJmr.jpg,10.856227363636364,Drama,Comedy
4408,The Guest,en,A soldier introduces himself to the Peterson family claiming to be a friend of their son who died in action. After the young man is welcomed into their home a series of accidental deaths seem to be connected to his presence.,22.476,Other,2014-09-05,5000000.0,2700051.0,100.0,6.627,1677.0,/8hGMD8PhOJrzkew0RZyOWqDhGJR.jpg,0.5400102,Mystery,Thriller
4414,Cinema Paradiso,it,A filmmaker recalls his childhood when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.,22.453,Other,1988-11-17,5000000.0,11990401.0,124.0,8.5,3658.0,/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg,2.3980802,Drama,Romance
4415,White Fang,en,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,22.448,Other,1991-01-18,14000000.0,34793160.0,107.0,6.7,509.0,/27wg0rVZW8hX7nWeHCwTf9DygGc.jpg,2.4852257142857144,Action,Adventure
4417,The Three Stooges,en,While trying to save their childhood orphanage Moe Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show.,22.445,Other,2012-04-13,30000000.0,54819301.0,92.0,5.8,487.0,/b0nNQCL90RGTwjxLEFsFFLQZKNe.jpg,1.8273100333333334,Comedy,
4419,The Great Escape,en,The Nazis exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.,22.441,Other,1963-06-20,4000000.0,11744471.0,173.0,7.9,2136.0,/gBH4H8UMFxl139HaLz6lRuvsel8.jpg,2.93611775,Adventure,Drama
4422,Last Tango in Paris,it,A recently widowed American begins an anonymous sexual relationship with a young Parisian woman.,22.431,Other,1972-10-14,1250000.0,36144000.0,129.0,7.026,1048.0,/vDuI72CpwWYIWJzNNA01PA2Utdr.jpg,28.9152,Drama,Romance
4428,Roman Holiday,en,Overwhelmed by her suffocating schedule touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in however she falls asleep on a park bench and is found by an American reporter Joe Bradley who takes her back to his apartment for safety. At work the next morning Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her but romance soon gets in the way.,22.415,Paramount,1953-08-26,1500000.0,12000000.0,119.0,7.889,1687.0,/8lI9dmz1RH20FAqltkGelY1v4BE.jpg,8.0,Romance,Comedy
4430,Identity Thief,en,When a mild-mannered businessman learns his identity has been stolen he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.,22.413,Other,2013-02-07,35000000.0,173965010.0,111.0,5.8,3050.0,/zkxqk7HQKOPYVL6nttcRuXN6l3Q.jpg,4.970428857142857,Comedy,Crime
4431,Licence to Kill,en,After capturing the notorious drug lord Franz Sanchez Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible as he infiltrates Sanchez's organization from the inside.,22.41,United Artists-Eon Productions-Danjaq,1989-06-13,32000000.0,156167015.0,133.0,6.328,1616.0,/uDLy7XzeEpvrINQEe5pzefmw3by.jpg,4.88021921875,Adventure,Action
4433,Dawn of the Dead,en,During an ever-growing epidemic of zombies that have risen from the dead two Philadelphia SWAT team members a traffic reporter and his television-executive girlfriend seek refuge in a secluded shopping mall.,22.408,Other,1978-09-02,650000.0,55000000.0,127.0,7.5,1754.0,/rC3YUoxZFTJAyS4BcZr7TeykrYH.jpg,84.61538461538461,Horror,
4434,The Man with the Iron Heart,en,With the Third Reich at its peak in 1942 the Czech resistance in London plans the most ambitious military operation of WWII –  Anthropoid. Two young recruits are sent to Prague to assassinate the most ruthless Nazi leader – Reinhardt Heydrich head of the SS the Gestapo and the architect of the Final Solution.,22.405,Other,2017-05-25,32679734.0,4412639.0,120.0,6.6,620.0,/ZVQfCY2DgCjrm8w2saXvT8Ao3B.jpg,0.13502677224973741,War,Action
4440,Star Trek: First Contact,en,The Borg a relentless race of cyborgs are on a direct course for Earth. Violating orders to stay away from the battle Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.,22.387,Paramount,1996-11-22,46000000.0,150000000.0,111.0,7.3,1496.0,/vrC1lkTktFQ4AqBfqf4PXoDDLcw.jpg,3.260869565217391,Science Fiction,Action
4443,Dante's Peak,en,Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long his worst fears are realized when a massive eruption hits and immediately Harry the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.,22.376,Other,1997-02-07,116000000.0,178127760.0,108.0,6.2,1586.0,/chApdYLprUhuAVpeBXn2Ytytyo6.jpg,1.5355841379310344,Action,Adventure
4450,The Ninth Gate,en,An all-expenses-paid international search for a rare copy of the book 'The Nine Gates of the Kingdom  of Shadows' brings an unscrupulous book dealer deep into a world of murder double-dealing and satanic worship.,22.363,Other,1999-08-25,38000000.0,58401898.0,133.0,6.453,2529.0,/cMd8zkd6NdWnQQoG7bQ9xJ8gjQR.jpg,1.536892052631579,Mystery,Thriller
4451,The Frighteners,en,"Once an architect Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",22.362,Other,1996-07-18,30000000.0,29359216.0,110.0,6.9,1285.0,/vbyEohgR2nx8YPTepAXodoQfJJH.jpg,0.9786405333333333,Horror,Comedy
4453,Streets of Fire,en,Raven Shaddock and his gang of merciless biker friends kidnap rock singer Ellen Aim. Ellen's former lover soldier-for-hire Tom Cody happens to be passing through town on a visit. In an attempt to save his star act Ellen's manager hires Tom to rescue her. Along with a former soldier they battle through dangerous cityscapes determined to get Ellen back.,22.357,Other,1984-06-01,14500000.0,8089290.0,93.0,6.9,389.0,/zmqsXtgGlcqsUWf4CSwnepSNhAM.jpg,0.5578820689655173,Action,
4454,Warm Bodies,en,After a zombie becomes involved with the girlfriend of one of his victims their romance sets in motion a sequence of events that might transform the entire lifeless world.,22.356,Other,2013-01-31,35000000.0,116980662.0,97.0,6.436,5597.0,/pvVpl38YOBDOANb0pWbXFb8X3iZ.jpg,3.3423046285714286,Horror,Comedy
4455,Ne Zha,zh,The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero but instead he becomes a devil incarnate because the Spirit Seed and a Demon Pill are switched.,22.353,Other,2019-07-26,20000000.0,742500000.0,110.0,7.921,317.0,/vhnxaQel1CwfcwLtCkTNpSdjte1.jpg,37.125,Animation,Fantasy
4456,Mr. Nobody,en,Nemo Nobody leads an ordinary existence with his wife and 3 children; one day he wakes up as a mortal centenarian in the year 2092.,22.347,Other,2009-11-06,47000000.0,2331721.0,141.0,7.8,5344.0,/qNkIONc4Rgmzo23ph7qWp9QfVnW.jpg,0.04961108510638298,Science Fiction,Drama
4457,Remember the Titans,en,After leading his football team to 15 winning seasons coach Bill Yoast is demoted and replaced by Herman Boone – tough opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions.,22.343,Other,2000-09-29,30000000.0,136706683.0,113.0,7.6,2267.0,/825ohvC4wZ3gCuncCaqkWeQnK8h.jpg,4.556889433333334,Drama,
4458,Hot Shots!,en,The gang that created Airplane and The Naked Gun sets its sights on Top Gun in this often hilarious spoof starring Charlie Sheen who previously only inspired laughs with his personal life. He plays Topper Harley a fighter pilot with an ax to grind: clearing the family name. He gets involved in a relationship with Valerie Golino a woman with an unusually talented stomach. But his mission is to avenge his father. Lloyd Bridges late in his career revealed an aptitude for this kind of silliness here as a commander who is both incredibly dim and delightfully accident prone. Directed by Jim Abrahams the film makes fun of a variety of other films as well from Dances with Wolves to The Fabulous Baker Boys. It was so successful that they all returned in the sequel Hot Shots! Part Deux.,22.331,20th Century Fox,1991-07-31,26000000.0,181096164.0,84.0,6.5,1827.0,/hoPS7RSvdZhZhWf28OfP2IZ0cb3.jpg,6.965237076923077,Action,Comedy
4459,Waiting...,en,Employees at a Bennigan's-like restaurant (called creatively enough Shenanigan's) kill time before their real lives get started. But while they wait they'll have to deal with picky customers who want their steak cooked to order and enthusiastic managers who want to build the perfect wait staff. Luckily these employees have effective revenge tactics.,22.328,Other,2005-10-07,3000000.0,18637690.0,94.0,6.3,663.0,/h3NJDiaaliUH35ApXPu8PFKZwWz.jpg,6.212563333333334,Comedy,
4460,The Specialist,en,May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick a retired explosives expert to kill her parent's killers. When Ned Trent embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims a deadly game of cat and mouse ensues.,22.324,Other,1994-10-07,45000000.0,170362582.0,110.0,5.9,1084.0,/ifqrivWPQ0ZpwnIXBjgN261SQ1S.jpg,3.7858351555555556,Action,Thriller
4462,Body of Lies,en,The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground moving from place to place scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman strategizing events from thousands of miles away. And as Ferris nears the target he discovers trust can be just as dangerous as it is necessary for survival.,22.322,Other,2008-10-09,70000000.0,113280098.0,128.0,6.6,2606.0,/sLjVDPPfNQfAma9XyOqHPClQb2V.jpg,1.6182871142857143,Action,Drama
4466,Ronin,en,A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries or 'ronin' and gives them the thorny task of recovering the case.,22.293,Other,1998-09-25,55000000.0,70692101.0,122.0,6.932,1999.0,/oVolaz0eIANKuPXhRuX4H5dz0HB.jpg,1.2853109272727272,Action,Thriller
4467,Fright Night,en,Charley Brewster a high school student accidentally discovers the true and creepy nature of Jerry Dandrige his dashing and enigmatic new neighbor; but no one seems willing to believe him.,22.287,Other,1985-08-02,9000000.0,24922237.0,107.0,7.0,1126.0,/upVMb3s1RugX4J0O40zfERjPE5N.jpg,2.7691374444444445,Comedy,Horror
4470,Sister Act 2: Back in the Habit,en,Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough the sisters discover that the school is due to be closed by the unscrupulous chief of a local authority.,22.273,Other,1993-12-09,38000000.0,57319029.0,107.0,6.4,1547.0,/dlkBp5S6Ei5f54031rAhyb4IwML.jpg,1.5083955,Music,Comedy
4471,S. Darko,en,Seven years after her brother's death Samantha Darko finds herself stranded in a small desert town after her car breaks down where she is plagued by bizarre visions telling of the universe's end. As a result she must face her own demons and in doing so save the world and herself.,22.273,Other,2009-04-28,4000000.0,4100000.0,103.0,4.435,415.0,/rQJjsKhqL4VZx0VN2sD8PR0dK1h.jpg,1.025,Thriller,Crime
4472,Bridesmaids,en,Annie's life is a mess. But when she finds out her lifetime best friend is engaged she simply must serve as Lillian's maid of honor. Though lovelorn and broke Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.,22.27,Other,2011-05-13,32500000.0,288383523.0,125.0,6.534,3934.0,/gJtA7hYsBMQ7EM3sPBMUdBfU7a0.jpg,8.87333916923077,Comedy,Romance
4477,Rough Night,en,Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up they're ultimately brought closer together when it matters most.,22.256,Other,2017-06-15,20000000.0,45056771.0,101.0,5.7,1834.0,/ttC00xcQ5UIO04kU8y0h5OAIYYJ.jpg,2.25283855,Drama,Comedy
4481,Max Steel,en,The adventures of teenager Max McGrath and alien companion Steel who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.,22.236,Other,2016-10-14,10000000.0,6272403.0,92.0,5.7,670.0,/AuEzNLF8yvzd169guYEFisqvy5z.jpg,0.6272403,Action,Adventure
4484,Vivarium,en,A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.,22.23,Other,2019-09-07,3947600.0,487625.0,97.0,6.072,1585.0,/myf3qzpeN0JbuFRPwSpJcz7rmAT.jpg,0.12352441990069916,Science Fiction,Thriller
4487,District 13: Ultimatum,fr,Damien and Leito return to District 13 on a mission to bring peace to the troubled sector that is controlled by five different gang bosses before the city’s secret services take drastic measures to solve the problem.,22.215,Other,2009-02-18,15000000.0,8786375.0,101.0,6.4,995.0,/8okAUSzfWiudSYMXLJYBnlcILcz.jpg,0.5857583333333334,Action,Thriller
4490,Lara Croft: Tomb Raider - The Cradle of Life,en,Lara Croft is tasked by MI6 to find the mythological Pandora's Box an object from ancient legends which supposedly contains one of the deadliest plagues on Earth before evil Nobel Prize-winning scientist turned bioterrorist Jonathan Reiss can get his hands on it. Lara ventures to an underwater temple in search of a magical luminous orb the key to finding Pandora's Box but after securing it it is promptly stolen by the villainous leader of a Chinese crime syndicate who in turn plans to sell the orb to Reiss. Lara must recover the box before evil mastermind Reiss uses it to construct a weapon of catastrophic capabilities.,22.205,Other,2003-07-21,95000000.0,160099222.0,117.0,5.742,3809.0,/ylIEGeAr2ygSClK4FDj9mi2Ah22.jpg,1.6852549684210527,Action,Adventure
4491,King Kong,en,Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong the eighth wonder of the world.,22.203,RKO Radio Pictures,1933-03-15,672000.0,10000000.0,104.0,7.6,1221.0,/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg,14.880952380952381,Adventure,Fantasy
4492,Surrogates,en,Set in a futuristic world where humans live in isolation and interact through surrogate robots a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.,22.201,Other,2009-09-24,80000000.0,122444772.0,89.0,6.093,2772.0,/v3Z0Hbl0oe57njrrIPh0fJPFoo.jpg,1.53055965,Science Fiction,Action
